movie,genre,runtime,certificate,rating,stars,description,votes,director
To the Bone,Drama            ,107 min,,6.8,"['Rebekah Kennedy, ', 'Lily Collins, ', 'Dana L. Wilson, ', 'Ziah Colon', '']","A young woman, dealing with anorexia, meets an unconventional doctor who challenges her to face her condition and embrace life.","52,675",['Marti Noxon']
Deadlock,Drama            ,,,7.9,"['Luca Asta Sardelis, ', 'Bijou Gracie Henry, ', 'Thomas Weatherall, ', 'Amit Pala', '']","DEADLOCK crashes though the incredible highs, heartbreak, camaraderie, laughs, and bittersweet sorrow of what it is to be a teenager. When a mysterious car crash exposes the dark underbelly...                See full summary »
",58,
Baradaran-e Leila,Drama            ,165 min,,7.9,"['Saeed Poursamimi, ', 'Taraneh Alidoosti, ', 'Navid Mohammadzadeh, ', 'Payman Maadi', '']","Leila, who has spent her entire life caring for her family, makes a plan as her brothers are struggling to make ends meet.","10,371",['Saeed Roustayi']
The Cement Garden,Drama            ,105 min,,7,"['Charlotte Gainsbourg, ', 'Andrew Robertson, ', 'Alice Coulthard, ', 'Ned Birkin', '']","Four children live with their terminally ill mother. After she dies, they try to hold things together. In their isolated house, they begin to deteriorate mentally, whilst they hide their mom's decomposing corpse in a makeshift concrete sarcophagus.",$0.32M,['Andrew Birkin']
Short Term 12,Drama            ,96 min,R,7.9,"['Brie Larson, ', 'Frantz Turner, ', 'John Gallagher Jr., ', 'Kaitlyn Dever', '']",A 20-something supervising staff member of a residential treatment facility navigates the troubled waters of that world alongside her co-worker and longtime boyfriend.,$1.01M,['Destin Daniel Cretton']
Twilight's Child,Drama            ,,,7.7,"['Brec Bassinger, ', 'Khobe Clarke, ', 'Joey McIntyre, ', 'Donna Mills', '']","Dawn gets her baby daughter Christie back and prepares to marry Jimmy. But as she settles in as owner of the Cutler's Cove Resort, she's haunted by visions of Grandmother Cutler",47,['Jacquie Gould']
MVP,Drama            ,112 min,,6.8,"['Mo McRae, ', 'Nate Boyer, ', 'Christina Ochoa, ', 'Dina Shihabi', '']","On the streets of Hollywood, a recently retired NFL player is saved from scandal by a homeless veteran. With their ""glory days"" behind them, the two men bond in search of purpose and identity.",279,['Nate Boyer']
...One Third of a Nation...,Drama            ,79 min,,6.2,"['Sylvia Sidney, ', 'Leif Erickson, ', 'Myron McCormick, ', 'Hiram Sherman', '']","A fire in a run-down tenement building injures young Joey Rogers. Wealthy passerby Peter Cortlant rushes the boy and his attractive older sister Mary to the hospital and pays the medical ...                See full summary »
",293,['Dudley Murphy']
Fanny och Alexander,Drama            ,188 min,A,8.1,"['Bertil Guve, ', 'Pernilla Allwin, ', 'Kristina Adolphson, ', 'Börje Ahlstedt', '']","Two young Swedish children in the 1900s experience the many comedies and tragedies of their lively and affectionate theatrical family, the Ekdahls.",$4.97M,['Ingmar Bergman']
Partner Track,Drama            ,60 min,A,6.7,"['Arden Cho, ', 'Alexandra Turshen, ', 'Bradley Gibson, ', 'Dominic Sherwood', '']","Centers on Ingrid Yun, an idealistic young lawyer, struggles with her moral compass and her passions as she fights to climb the partner track at an elite New York City law firm.","6,774",
Vortex,Drama            ,142 min,,7.4,"['Dario Argento, ', 'Françoise Lebrun, ', 'Alex Lutz, ', 'Kylian Dheret', '']",The last days of an elderly couple stricken by dementia.,"7,888",['Gaspar Noé']
Stateless,Drama            ,316 min,16,7.5,"['Yvonne Strahovski, ', 'Jai Courtney, ', 'Asher Keddie, ', 'Fayssal Bazzi', '']","Inspired by true events; a woman escaping a cult, a refugee fleeing with his family, a father trapped in a dead-end job and a bureaucrat on the verge of a national scandal find their lives intertwined in an immigration detention center.","10,292",
The Secret Lives of Cheerleaders,Drama            ,87 min,,5.2,"['Denise Richards, ', 'Savannah Lee May, ', 'Alexandria DeBerry, ', 'Josie Davis', '']","A pretty and talented cheerleader, Ava, finds herself embroiled in a petty feud with a more popular and ruthless fellow cheerleader who wants nobody else stealing her spotlight.",447,['Peter Sullivan']
Farming,Drama            ,101 min,R,6.2,"['Leke Adebayo, ', 'Ademola Adedoyin, ', 'Adejola Adeyemi, ', 'Adewale Akinnuoye-Agbaje', '']","Based on the writer/director's childhood, FARMING tells story of a young Nigerian boy, 'farmed out' by his parents to a white British family in the hope of a better future. Instead, he becomes the feared leader of a white skinhead gang.","1,809",['Adewale Akinnuoye-Agbaje']
Ladri di biciclette,Drama            ,89 min,U,8.3,"['Lamberto Maggiorani, ', 'Enzo Staiola, ', 'Lianella Carell, ', 'Elena Altieri', '']","In post-war Italy, a working-class man's bicycle is stolen, endangering his efforts to find work. He and his son set out to find it.",$0.33M,['Vittorio De Sica']
Bloomington,Drama            ,83 min,,5.8,"['Allison McAtee, ', 'Sarah Stouffer, ', 'Katherine Ann McGregor, ', 'Ray Zupp', '']",A coming-of-age drama about a former child actress attending college in search of independence and who ends up becoming romantically involved with a female professor.,"5,625",['Fernanda Cardoso']
Klip,Drama            ,102 min,,5.6,"['Isidora Simijonovic, ', 'Vukasin Jasnic, ', 'Sanja Mikitisin, ', 'Jovo Maksic', '']","In the face of her family life falling to pieces, a social-media-obsessed teenage girl falls into a hedonistic world of sex, drugs, and abuse.","7,049",['Maja Milos']
Angela Black,Drama            ,,,6.4,"['Joanne Froggatt, ', 'Michiel Huisman, ', 'Samuel Adewunmi, ', 'Seth Stokes', '']","Trapped in a relationship she cannot escape, Angela is approached out of the blue by Ed, a private investigator, who spills her husband's darkest secrets.","3,392",
"Jeanne Dielman, 23 quai du Commerce, 1080 Bruxelles",Drama            ,202 min,,7.6,"['Delphine Seyrig, ', 'Jan Decorte, ', 'Henri Storck, ', 'Jacques Doniol-Valcroze', '']","A lonely widowed housewife does her daily chores, takes care of her apartment where she lives with her teenage son, and turns the occasional trick to make ends meet. However, something happens that changes her safe routine.",$0.02M,['Chantal Akerman']
Transplant,Drama            ,60 min,,7.9,"['Hamza Haq, ', 'Laurence Leboeuf, ', 'John Hannah, ', 'Ayisha Issa', '']","An ER doctor, who fled his native Syria to come to Canada, must overcome numerous obstacles to resume a career in the high stakes world of emergency medicine.","4,735",
Tôkyô monogatari,Drama            ,136 min,U,8.2,"['Chishû Ryû, ', 'Chieko Higashiyama, ', 'Sô Yamamura, ', 'Setsuko Hara', '']","An old couple visit their children and grandchildren in the city, but receive little attention.","64,975",['Yasujirô Ozu']
The Way Home,Drama            ,42 min,,7.9,"['Chyler Leigh, ', 'Evan Williams, ', 'Sadie Laflamme-Snow, ', 'Andie MacDowell', '']",Three generations of strong and independent women living together in the small farm town of Port Haven embark on an enlightening journey none of them could have imagined as they learn how to find their way back to each other.,"1,542",
God's Creatures,Drama            ,100 min,R,6,"['Seán T. Ó Meallaigh, ', 'Paul Mescal, ', 'Emily Watson, ', 'Declan Conlon', '']","In a windswept fishing village, a mother is torn between protecting her beloved son and her own sense of right and wrong. A lie she tells for him rips apart their family and close-knit community in this tense, sweepingly emotional epic.","2,519",
The Grapes of Wrath,Drama            ,129 min,,8.1,"['Henry Fonda, ', 'Jane Darwell, ', 'John Carradine, ', 'Charley Grapewin', '']","An Oklahoma family, driven off their farm by the poverty and hopelessness of the Dust Bowl, joins the westward migration to California, suffering the misfortunes of the homeless in the Great Depression.",$0.06M,['John Ford']
The Other Side of the Wind,Drama            ,122 min,R,6.7,"['John Huston, ', 'Oja Kodar, ', 'Peter Bogdanovich, ', 'Susan Strasberg', '']","At a media-swamped party to celebrate his 70th birthday and screen his avant-garde film-in-progress, a legendary but jaded Hollywood director is faced both with voracious fans and unsettling questions about what became of his lead actor.","7,765",['Orson Welles']
Vida,Drama            ,35 min,18,7.4,"['Melissa Barrera, ', 'Mishel Prada, ', 'Ser Anzoategui, ', 'Chelsea Rendon', '']","Two sisters, who could not be more different or distanced from each other, are forced to move back to their childhood neighborhood, after the death of their mother, only to discover her past and the shocking truth about her identity.","3,338",
Judging Amy,Drama            ,60 min,,7,"['Amy Brenneman, ', 'Tyne Daly, ', 'Karle Warren, ', 'Richard T. Jones', '']","A family drama focused on three generations of women living together in Hartford, Connecticut.","6,742",
Columbus,Drama            ,104 min,,7.2,"['John Cho, ', 'Haley Lu Richardson, ', 'Parker Posey, ', 'Michelle Forbes', '']","A Korean-born man finds himself stuck in Columbus, Indiana, where his architect father is in a coma. The man meets a young woman who wants to stay in Columbus with her mother, a recovering addict, instead of pursuing her own dreams.",$1.02M,['Kogonada']
Miracle in Cell No. 7,Drama            ,132 min,,8.2,"['Aras Bulut Iynemli, ', 'Nisa Sofiya Aksongur, ', 'Deniz Baysal, ', 'Celile Toyon Uysal', '']",A story of love between a mentally-ill father who was wrongly accused of murder and his lovely six year old daughter. Prison will be their home. Based on the 2013 Korean movie 7-beon-bang-ui seon-mul (2013).,"52,435",['Mehmet Ada Öztekin']
Life,Drama            ,355 min,,7.7,"['Rachael Stirling, ', 'Victoria Hamilton, ', 'Peter Davison, ', 'Melissa Johns', '']","Gail, Belle, David, and Hannah all encounter new and disruptive influences in their lives, kicking off interweaving stories set in a house in Manchester, England, UK, divided into four flats.","2,299",
I Am...,Drama            ,47 min,,7.1,"['Samantha Morton, ', 'Gemma Chan, ', 'Vicky McClure, ', 'Lesley Manville', '']",A trilogy that explores the experiences of three women in personal and emotional moments.,783,
Do-ga-ni,Drama            ,125 min,,8,"['Gong Yoo, ', 'Jung Yu-mi, ', 'Hyeon-soo Kim, ', 'Jee-Young Kim', '']","Based on real events, this film depicts the story of a school for the hearing-impaired where young deaf students were sexually assaulted by the faculty members over a long period of time.","19,526",['Hwang Dong-hyuk']
R.M.N.,Drama            ,125 min,,7.3,"['Marin Grigore, ', 'Judith State, ', 'Macrina Barladeanu, ', 'Orsolya Moldován', '']","A non-judgmental analysis of the driving forces of human behavior when confronted with the unknown, of the way we perceive the other and on how we relate to an unsettling future.","3,479",['Cristian Mungiu']
Earth Mama,Drama            ,97 min,R,7.3,"['Tia Nomore, ', 'Erika Alexander, ', 'Keta Price, ', 'Doechii', '']",An intimate coming of age story of a pregnant single mother who embraces her Bay Area community as she determines the fate of her family.,104,['Savanah Leaf']
Nebraska,Drama            ,115 min,UA,7.7,"['Bruce Dern, ', 'Will Forte, ', 'June Squibb, ', 'Bob Odenkirk', '']","An aging, booze-addled father makes the trip from Montana to Nebraska with his estranged son in order to claim a million-dollar Mega Sweepstakes Marketing prize.",$17.65M,['Alexander Payne']
Dear Zoe,Drama            ,94 min,R,5.6,"['Sadie Sink, ', 'Theo Rossi, ', 'Jessica Capshaw, ', 'Justin Bartha', '']","When Tess and her family suffer an unimaginable loss, she finds support from a surprising source: her biological father - a lovable slacker from the wrong side of the tracks - and the charming but dangerous juvenile delinquent next door.","1,030",['Gren Wells']
Girl,Drama            ,105 min,R,7.2,"['Victor Polster, ', 'Arieh Worthalter, ', 'Oliver Bodart, ', 'Tijmen Govaerts', '']",A promising teenage dancer enrolls at a prestigious ballet school while grappling with her gender dysphoria.,"16,316",['Lukas Dhont']
The Minx,Drama            ,84 min,,4.6,"['Jan Sterling, ', 'Robert Rodan, ', 'Shirley Parker, ', 'Michael Beirne', '']","A businessman hosts a hunting party at a remote lodge, and hires three prostitutes to take care of his clients. However, the girls have their own plans and secretly install cameras in the bedrooms to record the activities for future use.",$0.73M,['Raymond Jacobs']
The Family That Preys,Drama            ,111 min,PG-13,5.9,"['Kathy Bates, ', 'Alfre Woodard, ', 'Sanaa Lathan, ', 'Rockmond Dunbar', '']",Two families from different walks of life learn to work together.,$37.02M,['Tyler Perry']
The Blind,Drama            ,108 min,PG-13,,"['Kerry Knuppe, ', 'Amelia Eve, ', 'John Ales, ', 'Aaron Dalla Villa', '']","In the 1960s Deep South, a man struggles with the shame of his past while navigating his own alcoholism and complicated family dynamics as a husband and father.",,['Andrew Hyatt']
Sorry for Your Loss,Drama            ,30 min,,7.5,"['Elizabeth Olsen, ', 'Kelly Marie Tran, ', 'Jovan Adepo, ', 'Mamoudou Athie', '']",Her husband's sudden death upends and transforms relationships in Leigh Shaw's life and also forces her to realize how much she didn't know about him.,"3,112",
All Saints,Drama            ,60 min,,7.1,"['Judith McGrath, ', 'Georgie Parker, ', 'Tammy Macintosh, ', 'Martin Lynes', '']",A drama series centred on the lives of the nurses at All Saints Western General Hospital.,"1,553",
The Magdalene Sisters,Drama            ,114 min,R,7.7,"['Eileen Walsh, ', 'Dorothy Duffy, ', 'Nora-Jane Noone, ', 'Anne-Marie Duff', '']",Three young Irish women struggle to maintain their spirits while they endure dehumanizing abuse as inmates of a Magdalene Sisters Asylum.,$4.89M,['Peter Mullan']
Who's Afraid of Virginia Woolf?,Drama            ,131 min,A,8,"['Elizabeth Taylor, ', 'Richard Burton, ', 'George Segal, ', 'Sandy Dennis', '']","A bitter, aging couple, with the help of alcohol, use their young houseguests to fuel anguish and emotional pain towards each other over the course of a distressing night.","77,969",['Mike Nichols']
Holby City,Drama            ,60 min,,5.8,"['Hugh Quarshie, ', 'Rosie Marcel, ', 'Jaye Jacobs, ', 'Bob Barrett', '']","The everyday lives, professional and personal, of the doctors, nurses and patients who find themselves, for various reasons, in the wards of the frenetic cardiac unit of Holby City General Hospital.","2,370",
